SaleID,Invoice ID,CustomerID,ProductID,Quantity,Tax 5%,Total,cogs,gross income,Rating
21,300-71-4605,-149253993290514649,-6478434041698266383,5,21.51,451.71,430.2,21.51,4.8
22,371-85-5789,-2177661642399427046,-3576364837366167008,3,13.197,277.137,263.94,13.197,5.1
23,273-16-6619,-2177661642399427046,1163473892023805640,2,3.32,69.72,66.4,3.32,4.4
24,636-48-8204,-2177661642399427046,6180740817173308994,5,8.64,181.44,172.8,8.64,9.9
25,549-59-1358,-149253993290514649,4618981202961266722,3,13.2945,279.1845,265.89,13.2945,6.0
26,227-03-5010,1792274006348302037,-1727516838200167920,8,21.036,441.756,420.72,21.036,8.5
27,649-29-6775,-2177661642399427046,-2524903473628329337,1,1.676,35.196,33.52,1.676,6.7
28,189-17-4241,6809895645874246465,-8429165872180508493,2,8.767,184.107,175.34,8.767,7.7
29,145-94-9061,6809895645874246465,2635932893202626023,5,22.09,463.89,441.8,22.09,9.6
30,848-62-7243,-2177661642399427046,-1237531879941404001,9,11.2005,235.2105,224.01,11.2005,7.4
31,871-79-8483,-2177661642399427046,1402178403026507460,5,23.5325,494.1825,470.65,23.5325,4.8
32,149-71-6266,-149253993290514649,-8048807929356446793,9,35.1315,737.7615,702.63,35.1315,4.5
33,640-49-2076,-2177661642399427046,-8705880518183454121,8,33.512,703.752,670.24,33.512,5.1
34,595-11-5460,-2177661642399427046,4384763077438298824,2,9.658,202.818,193.16,9.658,5.1
35,183-56-6882,1792274006348302037,2065300127863191332,4,19.884,417.564,397.68,19.884,7.5
36,232-16-2483,1792274006348302037,-9001910503931602911,1,3.406,71.526,68.12,3.406,6.8
37,129-29-8530,-149253993290514649,-8192136275733611197,5,15.655,328.755,313.1,15.655,7.0
38,272-65-1806,6809895645874246465,5387589110744245806,9,27.396,575.316,547.92,27.396,4.7
39,333-73-7901,6809895645874246465,1269492731017315836,8,21.968,461.328,439.36,21.968,7.6
40,777-82-7220,-149253993290514649,8552628515646139009,8,12.048,253.008,240.96,12.048,7.7
41,280-35-5823,1792274006348302037,-4051505439187827745,1,4.336,91.056,86.72,4.336,7.9
42,554-53-8700,-149253993290514649,5027942347731035185,2,5.611,117.831,112.22,5.611,6.3
43,354-25-5821,1792274006348302037,4551759540805252339,6,20.736,435.456,414.72,20.736,5.6
44,228-96-1411,1792274006348302037,-6969877533773613163,8,39.48,829.08,789.6,39.48,7.6
45,617-15-4209,-149253993290514649,9015576099935228075,2,1.537,32.277,30.74,1.537,7.2
46,132-32-9879,1792274006348302037,-4326855007105923648,4,18.792,394.632,375.84,18.792,9.5
47,370-41-7321,-149253993290514649,3558865778798851058,9,25.5105,535.7205,510.21,25.5105,8.4
48,727-46-3608,1792274006348302037,97147055134456064,9,9.0045,189.0945,180.09,9.0045,4.1
49,669-54-1719,-149253993290514649,-4746869214630480352,6,5.679,119.259,113.58,5.679,8.1
50,574-22-5561,1792274006348302037,1854483272813556539,10,41.315,867.615,826.3,41.315,7.9
51,326-78-5178,-149253993290514649,2182103692698483885,7,31.99,671.79,639.8,31.99,9.5
52,162-48-8011,1792274006348302037,1714861412669752910,5,11.1475,234.0975,222.95,11.1475,8.5
53,616-24-2851,1792274006348302037,-8693901172682060113,4,3.574,75.054,71.48,3.574,6.5
54,778-71-5554,-149253993290514649,-2185207479645134049,1,0.7715,16.2015,15.43,0.7715,6.1
55,242-55-6721,-2177661642399427046,-822176568139867591,2,1.616,33.936,32.32,1.616,6.5
56,399-46-5918,6809895645874246465,3012984042052989202,8,34.392,722.232,687.84,34.392,8.2
57,106-35-6779,-149253993290514649,-7938264354802968867,2,4.434,93.114,88.68,4.434,5.8
58,635-40-6220,-2177661642399427046,6699453104183854642,8,35.84,752.64,716.8,35.84,6.6
59,817-48-8732,1792274006348302037,2001189028044247569,10,36.175,759.675,723.5,36.175,5.4
60,120-06-4233,-2177661642399427046,-1505123241073826566,6,9.183,192.843,183.66,9.183,9.3
61,285-68-5083,1792274006348302037,6475842756960597676,3,3.711,77.931,74.22,3.711,10.0
62,803-83-5989,-2177661642399427046,-1532651378933152996,6,16.719,351.099,334.38,16.719,7.0
63,347-34-2234,1792274006348302037,8209721744743219803,9,24.7815,520.4115,495.63,24.7815,10.0
64,199-75-8169,-149253993290514649,7643173934813339400,10,7.905,166.005,158.1,7.905,8.6
65,853-23-2453,-149253993290514649,-8896939728480660893,4,15.148,318.108,302.96,15.148,7.6
66,877-22-3308,-149253993290514649,-5484177488074239829,10,7.935,166.635,158.7,7.935,5.8
67,838-78-4295,6809895645874246465,8900309125231194492,2,3.347,70.287,66.94,3.347,6.7
68,109-28-2512,1792274006348302037,-2798654611383527299,6,29.283,614.943,585.66,29.283,9.9
69,232-11-3025,-2177661642399427046,1901751132296170665,10,39.385,827.085,787.7,39.385,6.4
70,382-03-4532,1792274006348302037,-3673830155910186735,1,0.9165,19.2465,18.33,0.9165,4.3
71,393-65-2792,-2177661642399427046,7879175538685435091,10,44.74,939.54,894.8,44.74,9.6
72,796-12-2025,-2177661642399427046,-7455924491087540380,10,31.06,652.26,621.2,31.06,5.9
73,510-95-6347,1792274006348302037,-6957178952417125899,3,7.278,152.838,145.56,7.278,4.0
74,841-35-6630,6809895645874246465,-3810152817433964888,6,22.773,478.233,455.46,22.773,8.7
75,287-21-9091,-2177661642399427046,-3089460451112330936,9,33.6015,705.6315,672.03,33.6015,9.4
76,732-94-0499,6809895645874246465,13083643962275990,10,20.825,437.325,416.5,20.825,5.4
77,263-10-3913,-149253993290514649,722883926125581738,9,22.068,463.428,441.36,22.068,8.6
78,381-20-0914,1792274006348302037,-2256756554097433711,9,9.0045,189.0945,180.09,9.0045,5.7
79,829-49-1914,1792274006348302037,814187225423056763,10,39.155,822.255,783.1,39.155,6.6
80,756-01-7507,6809895645874246465,-3846221350394894795,5,5.095,106.995,101.9,5.095,6.0
81,870-72-4431,6809895645874246465,7398886387602592359,6,29.757,624.897,595.14,29.757,5.5
82,847-38-7188,6809895645874246465,-6407731170534782561,3,14.502,304.542,290.04,14.502,6.4
83,480-63-2856,-2177661642399427046,-4694578642482711149,8,7.7,161.7,154.0,7.7,6.6
84,787-56-0757,1792274006348302037,-6426334034420540748,4,16.072,337.512,321.44,16.072,8.3
85,360-39-5055,-149253993290514649,675955208820056692,5,12.2275,256.7775,244.55,12.2275,6.6
86,730-50-9884,6809895645874246465,-2431339798742755430,7,29.071,610.491,581.42,29.071,4.0
87,362-58-8315,-2177661642399427046,-1828123221207426401,5,19.13,401.73,382.6,19.13,9.9
88,633-44-8566,-149253993290514649,5639244910322683241,7,17.283,362.943,345.66,17.283,7.3
89,504-35-8843,-2177661642399427046,8375973607306779392,1,2.1235,44.5935,42.47,2.1235,5.7
90,318-68-5053,6809895645874246465,-2593146477748539595,6,23.097,485.037,461.94,23.097,6.1
91,565-80-5980,1792274006348302037,-4081609612315338291,4,9.476,198.996,189.52,9.476,7.1
92,225-32-0908,6809895645874246465,-7746476949190831344,10,22.43,471.03,448.6,22.43,8.2
93,873-51-0671,1792274006348302037,91651108938161030,7,7.693,161.553,153.86,7.693,5.1
94,152-08-9985,-149253993290514649,5557013525220171853,9,28.962,608.202,579.24,28.962,8.6
95,512-91-0811,-2177661642399427046,3111365593399736342,1,4.4875,94.2375,89.75,4.4875,6.6
96,594-34-4444,-2177661642399427046,-9180848695157730929,1,4.858,102.018,97.16,4.858,7.2
97,766-85-7061,-2177661642399427046,-6813628532983611899,10,43.935,922.635,878.7,43.935,5.1
98,871-39-9221,6809895645874246465,-4247785523743345323,6,3.735,78.435,74.7,3.735,4.1
99,865-92-6136,-2177661642399427046,5159304048937465002,3,7.9125,166.1625,158.25,7.9125,9.3
100,733-01-9107,-2177661642399427046,-705568420093931074,6,24.81,521.01,496.2,24.81,7.4
101,163-56-7055,-149253993290514649,-3204209562444215808,1,2.4355,51.1455,48.71,2.4355,4.1
102,189-98-2939,-2177661642399427046,7156455300042292237,9,35.3475,742.2975,706.95,35.3475,7.2
103,551-21-3069,6809895645874246465,-8139544540535776844,9,10.3815,218.0115,207.63,10.3815,4.9
104,212-62-1842,-2177661642399427046,-327878865482351788,6,17.478,367.038,349.56,17.478,9.9
105,716-39-1409,-2177661642399427046,2130373192611678779,7,10.6225,223.0725,212.45,10.6225,8.0
106,704-48-3927,-149253993290514649,8940388542349167874,10,44.335,931.035,886.7,44.335,7.3
107,628-34-3388,-2177661642399427046,7494793440866278831,6,8.214,172.494,164.28,8.214,7.9
108,630-74-5166,-2177661642399427046,8808312908129549122,6,18.639,391.419,372.78,18.639,7.4
109,588-01-7461,6809895645874246465,7997341808599248806,9,15.291,321.111,305.82,15.291,4.2
110,861-77-0145,-149253993290514649,8727541663559917622,10,40.985,860.685,819.7,40.985,9.2
111,479-26-8945,1792274006348302037,265095240357796729,2,1.649,34.629,32.98,1.649,4.6
112,210-67-5886,1792274006348302037,-1285467458867538727,3,14.7315,309.3615,294.63,14.7315,7.8
113,227-78-1148,6809895645874246465,-318086210132686130,7,25.494,535.374,509.88,25.494,8.4
114,645-44-1170,-149253993290514649,6509704432619639024,9,26.1315,548.7615,522.63,26.1315,4.3
115,237-01-6122,1792274006348302037,-3952187649872512406,9,36.3555,763.4655,727.11,36.3555,9.5
116,225-98-1496,6809895645874246465,7109049156269199764,3,4.053,85.113,81.06,4.053,7.1
117,291-32-1427,-149253993290514649,9040406120027985467,5,5.485,115.185,109.7,5.485,5.3
118,659-65-8956,-149253993290514649,-4455638993023592181,1,2.568,53.928,51.36,2.568,5.2
119,642-32-2990,6809895645874246465,-3502747725709793758,10,5.48,115.08,109.6,5.48,6.0
120,378-24-2715,-2177661642399427046,8368211428685948805,2,5.344,112.224,106.88,5.344,4.1
121,638-60-7125,6809895645874246465,7088527089527127319,8,39.824,836.304,796.48,39.824,5.2
122,659-36-1684,-149253993290514649,-3429156898084745836,7,19.992,419.832,399.84,19.992,6.5
123,219-22-9386,-149253993290514649,-5378241446751034582,9,44.982,944.622,899.64,44.982,4.2
124,336-78-2147,-149253993290514649,4221308989943389977,8,25.564,536.844,511.28,25.564,4.6
125,268-27-6179,1792274006348302037,4120041529970087125,8,22.588,474.348,451.76,22.588,7.3
126,668-90-8900,6809895645874246465,-8866891061787075978,7,32.7915,688.6215,655.83,32.7915,4.5
127,870-54-3162,6809895645874246465,-8775387438680579220,5,8.0625,169.3125,161.25,8.0625,9.0
128,189-08-9157,6809895645874246465,-7145895030742728066,9,14.2785,299.8485,285.57,14.2785,5.9
129,663-86-9076,1792274006348302037,7909291323727906386,8,27.416,575.736,548.32,27.416,8.5
130,549-84-7482,6809895645874246465,8348499241347182129,9,40.626,853.146,812.52,40.626,7.2
131,191-10-6171,6809895645874246465,-5741349958445406940,7,13.867,291.207,277.34,13.867,7.5
132,802-70-5316,1792274006348302037,-4895590594448949128,6,27.639,580.419,552.78,27.639,8.3
133,695-51-0018,6809895645874246465,-4845882728500472722,4,6.968,146.328,139.36,6.968,7.4
134,590-83-4591,-149253993290514649,-8440136987972088461,6,26.235,550.935,524.7,26.235,8.8
135,483-71-1164,6809895645874246465,-4704593116171230223,6,24.39,512.19,487.8,24.39,5.3
136,597-78-7908,-2177661642399427046,939349829102992197,3,13.533,284.193,270.66,13.533,6.2
137,700-81-1757,6809895645874246465,-7098136764788381404,5,6.5775,138.1275,131.55,6.5775,8.8
138,354-39-5160,1792274006348302037,-4301102034348857769,6,10.326,216.846,206.52,10.326,9.8
139,241-72-9525,-2177661642399427046,8798162692051357176,10,25.955,545.055,519.1,25.955,8.2
140,575-30-8091,-2177661642399427046,-7563745855444052387,8,29.0,609.0,580.0,29.0,9.2
141,731-81-9469,1792274006348302037,8009493263561502883,10,44.9,942.9,898.0,44.9,5.4
142,280-17-4359,-149253993290514649,1069810975447405800,10,45.25,950.25,905.0,45.25,8.1
143,338-65-2210,1792274006348302037,-5362782793364018524,10,34.3,720.3,686.0,34.3,9.1
144,488-25-4221,1792274006348302037,-4506542531334360738,1,1.5205,31.9305,30.41,1.5205,8.4
145,239-10-7476,6809895645874246465,2505210126584163478,6,23.385,491.085,467.7,23.385,8.0
146,458-41-1477,6809895645874246465,-3562141925292586685,6,13.878,291.438,277.56,13.878,9.5
147,685-64-1609,1792274006348302037,-1897986302446314816,10,15.07,316.47,301.4,15.07,9.2
148,568-90-5112,-2177661642399427046,3344724766765072827,4,13.228,277.788,264.56,13.228,5.6
149,262-47-2794,-149253993290514649,-7708794954244790089,8,28.744,603.624,574.88,28.744,6.2
150,238-49-0436,-2177661642399427046,6982203615358425729,8,12.984,272.664,259.68,12.984,4.9
151,608-96-3517,1792274006348302037,7787803667553966883,4,18.308,384.468,366.16,18.308,4.8
152,584-86-7256,-149253993290514649,-2318345822965666652,7,12.096,254.016,241.92,12.096,7.3
153,746-94-0204,-2177661642399427046,3254039855848548015,9,37.458,786.618,749.16,37.458,7.4
154,214-17-6927,6809895645874246465,-9159007726650439456,6,4.944,103.824,98.88,4.944,9.9
155,400-89-4171,6809895645874246465,5121529052393638342,8,32.388,680.148,647.76,32.388,9.3
156,782-95-9291,-149253993290514649,-5948234031891657372,5,23.0725,484.5225,461.45,23.0725,9.0
157,279-74-2924,-149253993290514649,-6128778396506922717,1,3.6085,75.7785,72.17,3.6085,6.1
158,307-85-2293,-2177661642399427046,5863828236810103000,5,12.57,263.97,251.4,12.57,9.7
159,743-04-1105,-149253993290514649,-894055236131476609,9,43.749,918.729,874.98,43.749,6.0
160,423-57-2993,-2177661642399427046,-3137131036497992240,6,28.017,588.357,560.34,28.017,10.0
161,894-41-5205,6809895645874246465,3588690918950979574,8,17.272,362.712,345.44,17.272,8.3
162,275-28-0149,-2177661642399427046,5818320916729502027,1,3.1845,66.8745,63.69,3.1845,6.0
163,101-17-6199,-2177661642399427046,-1660874863327373252,7,16.0265,336.5565,320.53,16.0265,7.0
164,423-80-0988,-2177661642399427046,8977206189775982743,2,7.64,160.44,152.8,7.64,6.5
165,548-46-9322,-2177661642399427046,5529403416870901718,10,19.95,418.95,399.0,19.95,5.9
166,505-02-0892,-149253993290514649,2449556892018787834,8,17.028,357.588,340.56,17.028,5.6
167,234-65-2137,-2177661642399427046,3558798660449964678,10,47.79,1003.59,955.8,47.79,4.8
168,687-47-8271,-2177661642399427046,6595426025169242608,10,49.49,1039.29,989.8,49.49,8.7
169,796-32-9050,-2177661642399427046,-4971344687379057381,6,15.384,323.064,307.68,15.384,6.5
170,105-31-1824,-149253993290514649,4982435027650434212,7,24.332,510.972,486.64,24.332,8.5
171,249-42-3782,-2177661642399427046,8117307634880323250,5,17.5025,367.5525,350.05,17.5025,5.5
172,316-55-4634,-149253993290514649,2779577767719032231,5,20.0125,420.2625,400.25,20.0125,9.4
173,733-33-4967,-2177661642399427046,8002803013092120058,8,8.34,175.14,166.8,8.34,6.3
174,608-27-6295,-149253993290514649,3136501721966544164,6,15.867,333.207,317.34,15.867,9.8
175,414-12-7047,-2177661642399427046,-614783514541929217,8,7.916,166.236,158.32,7.916,8.7
176,827-26-2100,-149253993290514649,-978318728913921363,9,15.228,319.788,304.56,15.228,8.8
177,175-54-2529,-149253993290514649,7560376939251561023,8,8.868,186.228,177.36,8.868,9.6
178,139-52-2867,6809895645874246465,-3741228629902904765,7,7.8785,165.4485,157.57,7.8785,4.8
179,407-63-8975,-2177661642399427046,4233703861009466910,6,22.164,465.444,443.28,22.164,4.4
180,342-65-4817,-149253993290514649,4580814196905087904,3,13.02,273.42,260.4,13.02,9.9
181,130-98-8941,-2177661642399427046,-2192238122862638262,7,22.491,472.311,449.82,22.491,5.7
182,434-83-9547,-149253993290514649,-8866798060189290573,8,15.388,323.148,307.76,15.388,7.7
183,851-28-6367,-149253993290514649,7636764088460152884,10,7.75,162.75,155.0,7.75,8.0
184,824-88-3614,-2177661642399427046,5226702004629584677,8,13.724,288.204,274.48,13.724,5.7
185,586-25-0848,6809895645874246465,-1935749168774582372,7,4.319,90.699,86.38,4.319,6.7
186,895-66-0685,-149253993290514649,3315624081991747481,3,2.712,56.952,54.24,2.712,8.0
187,305-14-0245,1792274006348302037,-8362818881637611299,8,37.796,793.716,755.92,37.796,7.5
188,732-04-5373,-149253993290514649,-5263147022424354578,4,9.294,195.174,185.88,9.294,7.0
189,400-60-7251,-2177661642399427046,-902736627926501127,1,3.7035,77.7735,74.07,3.7035,9.9
190,593-65-1552,6809895645874246465,-468273694401192578,4,13.962,293.202,279.24,13.962,5.9
191,284-34-9626,6809895645874246465,-8771508824799162650,3,11.556,242.676,231.12,11.556,7.2
192,437-58-8131,6809895645874246465,8496413369270824731,2,7.352,154.392,147.04,7.352,4.6
193,286-43-6208,6809895645874246465,-7618711676805265023,9,39.51,829.71,790.2,39.51,9.2
194,641-43-2399,-2177661642399427046,4056743120593241635,4,5.11,107.31,102.2,5.11,5.7
195,831-07-6050,-2177661642399427046,7936242427902150046,5,8.1775,171.7275,163.55,8.1775,9.9
196,556-86-3144,1792274006348302037,-2592136747699304469,1,3.7145,78.0045,74.29,3.7145,5.0
197,848-24-9445,-149253993290514649,-3942764997362489585,2,4.37,91.77,87.4,4.37,4.9
198,856-22-8149,6809895645874246465,8828025095468315798,1,1.2645,26.5545,25.29,1.2645,6.1
199,699-01-4164,-2177661642399427046,-7162542917459957262,4,8.3,174.3,166.0,8.3,8.2
200,420-11-4919,1792274006348302037,1172842244033773554,5,17.8475,374.7975,356.95,17.8475,5.5
201,606-80-4905,1792274006348302037,1492260628908080145,6,5.745,120.645,114.9,5.745,6.8
202,542-41-0513,1792274006348302037,-6092017068220182196,4,11.498,241.458,229.96,11.498,6.6
203,426-39-2418,-2177661642399427046,-3216366338435569932,7,21.4935,451.3635,429.87,21.4935,9.8
204,875-46-5808,-149253993290514649,680573629931364762,10,12.95,271.95,259.0,12.95,8.7
205,394-43-4238,-149253993290514649,-1178668321445524051,5,4.4425,93.2925,88.85,4.4425,5.4
206,749-24-1565,6809895645874246465,6368836667368986411,9,10.3635,217.6335,207.27,10.3635,7.9
207,672-51-8681,1792274006348302037,3947939764142123735,9,29.9925,629.8425,599.85,29.9925,9.7
208,263-87-5680,1792274006348302037,2889176245849417201,10,14.265,299.565,285.3,14.265,7.8
209,573-58-9734,6809895645874246465,4407464002267746058,3,4.5555,95.6655,91.11,4.5555,5.1
210,817-69-8206,6809895645874246465,-3074630894609491770,9,44.8785,942.4485,897.57,44.8785,6.5
211,888-02-0338,-2177661642399427046,1432968716698958412,9,11.8035,247.8735,236.07,11.8035,5.9
212,677-11-0152,6809895645874246465,-4162933164259586829,9,41.967,881.307,839.34,41.967,8.8
213,142-63-6033,-2177661642399427046,7408807859693326028,5,23.09,484.89,461.8,23.09,4.9
214,656-16-1063,-2177661642399427046,-2384906408155636664,3,6.963,146.223,139.26,6.963,4.4
215,891-58-8335,1792274006348302037,1934893436394750979,7,10.3635,217.6335,207.27,10.3635,6.5
216,802-43-8934,-2177661642399427046,-537780614898317677,1,0.914,19.194,18.28,0.914,8.3
217,560-30-5617,6809895645874246465,-4600889522628537361,5,6.1925,130.0425,123.85,6.1925,8.5
218,319-74-2561,1792274006348302037,-2382637836352078784,3,14.196,298.116,283.92,14.196,5.5
219,549-03-9315,-2177661642399427046,129028875293193599,8,37.948,796.908,758.96,37.948,8.7
220,790-29-1172,6809895645874246465,520320504979968304,3,8.601,180.621,172.02,8.601,7.9
221,239-36-3640,-2177661642399427046,-7896276960479774242,6,13.605,285.705,272.1,13.605,6.1
222,468-01-2051,-2177661642399427046,6209561147522876128,7,21.728,456.288,434.56,21.728,5.4
223,389-25-3394,-2177661642399427046,-1135259570031472560,5,2.9525,62.0025,59.05,2.9525,9.4
224,279-62-1445,1792274006348302037,8728920900800073277,1,0.627,13.167,12.54,0.627,8.2
225,213-72-6612,-2177661642399427046,-7355236718397457243,2,4.325,90.825,86.5,4.325,6.2
226,746-68-6593,1792274006348302037,-5511667533355255661,2,8.716,183.036,174.32,8.716,9.7
227,836-82-5858,-149253993290514649,1995411163375403892,9,31.2165,655.5465,624.33,31.2165,4.0
228,583-72-1480,-149253993290514649,5957600431720157638,4,7.412,155.652,148.24,7.412,9.7
229,466-61-5506,1792274006348302037,-7567806298745521929,6,27.21,571.41,544.2,27.21,5.3
230,721-86-6247,6809895645874246465,-1623343282887369448,8,25.368,532.728,507.36,25.368,7.4
231,289-65-5721,6809895645874246465,-4170258674681107811,2,8.137,170.877,162.74,8.137,6.5
232,545-46-3100,1792274006348302037,9143280621849582216,3,1.5885,33.3585,31.77,1.5885,8.7
233,418-02-5978,6809895645874246465,9093811879419688254,9,37.8405,794.6505,756.81,37.8405,8.0
234,269-04-5750,-149253993290514649,-3210194028722440663,4,14.764,310.044,295.28,14.764,6.7
235,157-13-5295,-149253993290514649,-4631070459597749181,10,25.97,545.37,519.4,25.97,6.5
236,645-78-8093,6809895645874246465,4112745757506741712,2,9.314,195.594,186.28,9.314,4.1
237,211-30-9270,-2177661642399427046,-2847731562171899269,5,4.3525,91.4025,87.05,4.3525,4.9
238,755-12-3214,1792274006348302037,3476875325077418316,5,11.055,232.155,221.1,11.055,8.6
239,346-84-3103,1792274006348302037,-6211887432213310442,5,3.305,69.405,66.1,3.305,4.3
240,478-06-7835,-2177661642399427046,-8991312235419339095,1,4.4845,94.1745,89.69,4.4845,4.9
241,540-11-4336,-2177661642399427046,8115802427416480935,9,11.223,235.683,224.46,11.223,5.6
242,448-81-5016,-2177661642399427046,3237841220535407140,2,5.977,125.517,119.54,5.977,5.8
243,142-72-4741,-149253993290514649,6839913019718057214,2,9.32,195.72,186.4,9.32,6.0
244,217-58-1179,-149253993290514649,-8893663799634196450,4,12.53,263.13,250.6,12.53,4.2
245,376-02-8238,-2177661642399427046,-5084966778450777699,8,37.548,788.508,750.96,37.548,8.3
246,530-90-9855,-149253993290514649,-7065933665576402335,8,19.036,399.756,380.72,19.036,5.7
247,866-05-7563,1792274006348302037,4367965583581641188,3,12.21,256.41,244.2,12.21,4.8
248,604-70-6476,-149253993290514649,-1191084736320945314,5,4.485,94.185,89.7,4.485,6.8
249,799-71-1548,-149253993290514649,-5698459070403504160,4,15.544,326.424,310.88,15.544,8.8
250,785-13-7708,-2177661642399427046,2725647192051556300,7,25.571,536.991,511.42,25.571,4.2
251,845-51-0542,-149253993290514649,3108750057565761335,9,20.9475,439.8975,418.95,20.9475,6.4
252,662-47-5456,-149253993290514649,-5414657462042979971,10,17.595,369.495,351.9,17.595,8.4
253,883-17-4236,6809895645874246465,-2108140363259290432,2,1.439,30.219,28.78,1.439,7.2
254,290-68-2984,-2177661642399427046,1377614904057583871,4,4.75,99.75,95.0,4.75,5.2
255,704-11-6354,-149253993290514649,3472427408796385224,8,23.56,494.76,471.2,23.56,8.9
256,110-48-7033,-149253993290514649,-8295976129966575286,4,6.524,137.004,130.48,6.524,9.0
257,366-93-0948,-149253993290514649,8476442880059871638,1,3.3175,69.6675,66.35,3.3175,9.7
258,729-09-9681,-149253993290514649,4442487405190320702,6,7.773,163.233,155.46,7.773,8.7
259,151-16-1484,-149253993290514649,-276300798541603574,4,6.45,135.45,129.0,6.45,6.5
260,380-94-4661,-149253993290514649,8682097489993045780,4,13.188,276.948,263.76,13.188,6.9
261,850-41-9669,6809895645874246465,-2994520086226946555,9,33.777,709.317,675.54,33.777,6.2
262,821-07-3596,6809895645874246465,9213850251447621166,4,3.29,69.09,65.8,3.29,5.6
263,655-85-5130,1792274006348302037,5944813716805765404,4,7.66,160.86,153.2,7.66,5.7
264,447-15-7839,1792274006348302037,3561957449781700602,10,11.12,233.52,222.4,11.12,4.2
265,154-74-7179,-2177661642399427046,-1014377137236802,1,2.7225,57.1725,54.45,2.7225,7.9
266,253-12-6086,1792274006348302037,4701981386731934590,7,34.44,723.24,688.8,34.44,8.7
267,808-65-0703,-2177661642399427046,-6648549265219758914,4,7.094,148.974,141.88,7.094,6.9
268,571-94-0759,1792274006348302037,6222852234011414580,10,37.3,783.3,746.0,37.3,9.5
269,144-51-6085,-149253993290514649,5494706473981952459,4,14.148,297.108,282.96,14.148,4.4
270,731-14-2199,1792274006348302037,854267171141355885,10,17.77,373.17,355.4,17.77,7.0
271,783-09-1637,6809895645874246465,-1870361605479254571,5,16.8575,354.0075,337.15,16.8575,6.3
272,687-15-1097,1792274006348302037,3100116660866372453,2,2.112,44.352,42.24,2.112,9.7
273,126-54-1082,1792274006348302037,-8653342554885348935,9,9.693,203.553,193.86,9.693,8.8
274,633-91-1052,6809895645874246465,-2967669044513913895,2,1.203,25.263,24.06,1.203,5.1
275,477-24-6490,6809895645874246465,2166806380844216747,6,29.913,628.173,598.26,29.913,7.9
276,566-19-5475,-2177661642399427046,8296196500004068560,7,16.7895,352.5795,335.79,16.7895,6.2
277,526-86-8552,1792274006348302037,-6782522077435786877,10,10.91,229.11,218.2,10.91,7.1
278,376-56-3573,6809895645874246465,-3517736935627302561,4,19.084,400.764,381.68,19.084,6.4
279,537-72-0426,-149253993290514649,1349541960603559508,10,35.495,745.395,709.9,35.495,5.7
280,828-61-5674,-149253993290514649,-119664679138347882,10,22.01,462.21,440.2,22.01,9.6
281,136-08-6195,6809895645874246465,2813921203464355119,8,27.984,587.664,559.68,27.984,6.4
282,523-38-0215,-2177661642399427046,5391396172420202675,1,1.85,38.85,37.0,1.85,7.9
283,490-29-1201,6809895645874246465,-5214256470617976679,1,0.767,16.107,15.34,0.767,6.5
284,667-92-0055,-149253993290514649,-6143621018409829435,6,29.949,628.929,598.98,29.949,8.5
285,565-17-3836,1792274006348302037,1566385970516513314,4,9.534,200.214,190.68,9.534,9.1
286,498-41-1961,-2177661642399427046,466364046063593348,5,16.67,350.07,333.4,16.67,7.6
287,593-95-4461,-149253993290514649,-3984944853997857733,1,3.743,78.603,74.86,3.743,6.9
