Invoice ID,Branch,City,Date,Time,Payment
183-56-6882,C,Naypyitaw,2019-02-06,10:42:00,Ewallet
232-16-2483,C,Naypyitaw,2019-01-07,12:28:00,Ewallet
129-29-8530,A,Yangon,2019-03-10,19:15:00,Ewallet
272-65-1806,A,Yangon,2019-01-15,17:17:00,Ewallet
333-73-7901,C,Naypyitaw,2019-03-23,13:24:00,Ewallet
777-82-7220,B,Mandalay,2019-03-03,13:01:00,Cash
280-35-5823,B,Mandalay,2019-01-17,18:45:00,Ewallet
554-53-8700,C,Naypyitaw,2019-02-02,10:11:00,Cash
354-25-5821,B,Mandalay,2019-02-08,13:03:00,Cash
228-96-1411,C,Naypyitaw,2019-03-04,20:39:00,Cash
617-15-4209,C,Naypyitaw,2019-03-16,19:47:00,Cash
132-32-9879,B,Mandalay,2019-03-09,18:00:00,Cash
370-41-7321,B,Mandalay,2019-02-27,17:24:00,Credit card
727-46-3608,B,Mandalay,2019-02-06,15:47:00,Ewallet
669-54-1719,B,Mandalay,2019-02-10,12:45:00,Credit card
574-22-5561,C,Naypyitaw,2019-03-19,17:08:00,Ewallet
326-78-5178,C,Naypyitaw,2019-02-03,10:19:00,Cash
162-48-8011,A,Yangon,2019-02-10,15:10:00,Cash
616-24-2851,B,Mandalay,2019-03-22,14:42:00,Ewallet
778-71-5554,C,Naypyitaw,2019-01-25,15:46:00,Credit card
242-55-6721,B,Mandalay,2019-03-07,11:49:00,Ewallet
399-46-5918,C,Naypyitaw,2019-02-28,19:01:00,Cash
106-35-6779,A,Yangon,2019-03-27,11:26:00,Cash
635-40-6220,A,Yangon,2019-02-07,11:28:00,Ewallet
817-48-8732,A,Yangon,2019-01-20,15:55:00,Cash
120-06-4233,C,Naypyitaw,2019-03-12,20:36:00,Cash
285-68-5083,C,Naypyitaw,2019-02-15,17:47:00,Credit card
803-83-5989,C,Naypyitaw,2019-02-24,10:55:00,Ewallet
347-34-2234,B,Mandalay,2019-02-03,13:40:00,Ewallet
199-75-8169,A,Yangon,2019-03-06,12:27:00,Credit card
853-23-2453,B,Mandalay,2019-02-14,14:35:00,Cash
877-22-3308,A,Yangon,2019-03-13,16:40:00,Cash
838-78-4295,C,Naypyitaw,2019-02-10,15:43:00,Ewallet
109-28-2512,B,Mandalay,2019-01-07,15:01:00,Ewallet
232-11-3025,A,Yangon,2019-01-24,10:04:00,Cash
382-03-4532,A,Yangon,2019-02-02,18:50:00,Cash
393-65-2792,C,Naypyitaw,2019-01-06,12:46:00,Credit card
796-12-2025,C,Naypyitaw,2019-02-11,16:19:00,Cash
510-95-6347,B,Mandalay,2019-03-05,18:17:00,Ewallet
841-35-6630,C,Naypyitaw,2019-03-09,18:21:00,Cash
287-21-9091,A,Yangon,2019-01-22,10:55:00,Ewallet
732-94-0499,C,Naypyitaw,2019-01-13,17:04:00,Credit card
263-10-3913,C,Naypyitaw,2019-01-09,14:20:00,Credit card
381-20-0914,A,Yangon,2019-01-12,15:48:00,Credit card
829-49-1914,C,Naypyitaw,2019-03-05,16:24:00,Ewallet
756-01-7507,C,Naypyitaw,2019-01-22,18:56:00,Cash
870-72-4431,C,Naypyitaw,2019-01-21,14:42:00,Credit card
847-38-7188,B,Mandalay,2019-01-26,19:56:00,Ewallet
480-63-2856,C,Naypyitaw,2019-01-23,18:37:00,Ewallet
787-56-0757,C,Naypyitaw,2019-02-23,18:45:00,Credit card
360-39-5055,C,Naypyitaw,2019-03-09,10:17:00,Cash
730-50-9884,C,Naypyitaw,2019-03-05,14:31:00,Ewallet
362-58-8315,C,Naypyitaw,2019-03-25,10:23:00,Cash
633-44-8566,A,Yangon,2019-03-27,20:35:00,Credit card
504-35-8843,A,Yangon,2019-01-02,16:57:00,Cash
318-68-5053,B,Mandalay,2019-02-27,17:55:00,Cash
565-80-5980,C,Naypyitaw,2019-01-23,10:25:00,Cash
225-32-0908,C,Naypyitaw,2019-01-26,19:54:00,Ewallet
873-51-0671,A,Yangon,2019-01-10,16:42:00,Ewallet
152-08-9985,B,Mandalay,2019-03-12,12:09:00,Credit card
512-91-0811,C,Naypyitaw,2019-02-06,20:05:00,Credit card
594-34-4444,A,Yangon,2019-03-08,20:38:00,Ewallet
766-85-7061,B,Mandalay,2019-03-29,10:25:00,Ewallet
871-39-9221,C,Naypyitaw,2019-02-09,13:11:00,Cash
865-92-6136,A,Yangon,2019-03-23,10:16:00,Ewallet
733-01-9107,B,Mandalay,2019-03-05,18:14:00,Cash
163-56-7055,C,Naypyitaw,2019-03-26,19:20:00,Cash
189-98-2939,C,Naypyitaw,2019-03-01,13:22:00,Cash
551-21-3069,C,Naypyitaw,2019-02-01,11:27:00,Cash
212-62-1842,A,Yangon,2019-03-28,16:44:00,Cash
716-39-1409,B,Mandalay,2019-03-19,18:19:00,Cash
704-48-3927,A,Yangon,2019-01-12,14:50:00,Ewallet
628-34-3388,C,Naypyitaw,2019-01-05,20:54:00,Credit card
630-74-5166,A,Yangon,2019-03-22,20:19:00,Cash
588-01-7461,C,Naypyitaw,2019-03-24,10:43:00,Cash
861-77-0145,C,Naypyitaw,2019-03-03,14:30:00,Cash
479-26-8945,B,Mandalay,2019-02-05,11:32:00,Ewallet
210-67-5886,C,Naypyitaw,2019-02-05,10:41:00,Credit card
227-78-1148,B,Mandalay,2019-02-15,12:44:00,Cash
645-44-1170,A,Yangon,2019-01-19,20:07:00,Ewallet
237-01-6122,C,Naypyitaw,2019-02-01,20:31:00,Credit card
225-98-1496,C,Naypyitaw,2019-03-02,13:01:00,Credit card
291-32-1427,B,Mandalay,2019-03-05,12:29:00,Ewallet
659-65-8956,B,Mandalay,2019-01-16,15:26:00,Ewallet
642-32-2990,A,Yangon,2019-02-02,20:48:00,Ewallet
378-24-2715,B,Mandalay,2019-01-20,20:38:00,Ewallet
638-60-7125,A,Yangon,2019-02-14,17:03:00,Credit card
659-36-1684,C,Naypyitaw,2019-01-12,12:02:00,Credit card
219-22-9386,B,Mandalay,2019-03-09,17:26:00,Credit card
336-78-2147,C,Naypyitaw,2019-03-13,19:52:00,Credit card
268-27-6179,B,Mandalay,2019-03-09,14:57:00,Ewallet
668-90-8900,A,Yangon,2019-03-10,18:44:00,Credit card
870-54-3162,A,Yangon,2019-01-27,13:26:00,Cash
189-08-9157,C,Naypyitaw,2019-01-08,16:17:00,Credit card
663-86-9076,C,Naypyitaw,2019-01-08,15:57:00,Ewallet
549-84-7482,B,Mandalay,2019-02-08,11:15:00,Ewallet
191-10-6171,B,Mandalay,2019-01-25,13:18:00,Cash
802-70-5316,A,Yangon,2019-03-06,20:34:00,Cash
695-51-0018,B,Mandalay,2019-02-10,18:36:00,Cash
590-83-4591,B,Mandalay,2019-02-17,14:40:00,Credit card
483-71-1164,C,Naypyitaw,2019-03-08,16:43:00,Ewallet
597-78-7908,C,Naypyitaw,2019-02-18,19:39:00,Cash
700-81-1757,A,Yangon,2019-01-18,20:59:00,Credit card
354-39-5160,A,Yangon,2019-02-18,15:39:00,Cash
241-72-9525,B,Mandalay,2019-02-16,12:21:00,Cash
575-30-8091,A,Yangon,2019-03-16,19:25:00,Ewallet
731-81-9469,C,Naypyitaw,2019-01-23,13:00:00,Credit card
280-17-4359,C,Naypyitaw,2019-01-25,13:48:00,Cash
338-65-2210,C,Naypyitaw,2019-02-05,19:57:00,Cash
488-25-4221,C,Naypyitaw,2019-02-22,10:36:00,Credit card
239-10-7476,A,Yangon,2019-01-21,16:37:00,Ewallet
458-41-1477,C,Naypyitaw,2019-03-08,17:11:00,Credit card
685-64-1609,A,Yangon,2019-02-10,12:28:00,Ewallet
568-90-5112,C,Naypyitaw,2019-03-19,12:46:00,Credit card
262-47-2794,B,Mandalay,2019-03-06,15:07:00,Credit card
238-49-0436,A,Yangon,2019-03-27,13:48:00,Credit card
608-96-3517,B,Mandalay,2019-03-23,19:20:00,Credit card
584-86-7256,C,Naypyitaw,2019-03-11,16:07:00,Credit card
746-94-0204,A,Yangon,2019-01-29,11:56:00,Credit card
214-17-6927,C,Naypyitaw,2019-02-07,18:23:00,Ewallet
400-89-4171,C,Naypyitaw,2019-01-28,13:05:00,Cash
782-95-9291,A,Yangon,2019-02-20,15:55:00,Credit card
279-74-2924,B,Mandalay,2019-01-04,19:40:00,Cash
307-85-2293,B,Mandalay,2019-03-07,13:58:00,Ewallet
743-04-1105,B,Mandalay,2019-03-30,14:43:00,Ewallet
423-57-2993,B,Mandalay,2019-03-27,19:18:00,Ewallet
894-41-5205,C,Naypyitaw,2019-01-19,19:39:00,Credit card
275-28-0149,A,Yangon,2019-02-25,16:21:00,Cash
101-17-6199,A,Yangon,2019-03-13,19:44:00,Credit card
423-80-0988,C,Naypyitaw,2019-01-30,19:42:00,Ewallet
548-46-9322,B,Mandalay,2019-02-20,15:24:00,Credit card
505-02-0892,B,Mandalay,2019-02-25,14:12:00,Ewallet
234-65-2137,C,Naypyitaw,2019-01-16,13:32:00,Cash
687-47-8271,A,Yangon,2019-02-08,16:20:00,Credit card
796-32-9050,A,Yangon,2019-01-19,16:31:00,Cash
105-31-1824,A,Yangon,2019-02-01,15:10:00,Credit card
249-42-3782,A,Yangon,2019-01-03,11:36:00,Ewallet
316-55-4634,B,Mandalay,2019-01-26,12:45:00,Credit card
733-33-4967,C,Naypyitaw,2019-03-03,19:17:00,Cash
608-27-6295,B,Mandalay,2019-01-19,17:34:00,Credit card
414-12-7047,B,Mandalay,2019-01-18,12:04:00,Ewallet
827-26-2100,A,Yangon,2019-03-21,16:21:00,Ewallet
175-54-2529,A,Yangon,2019-03-03,17:01:00,Credit card
139-52-2867,C,Naypyitaw,2019-02-13,10:50:00,Credit card
407-63-8975,A,Yangon,2019-03-23,19:16:00,Ewallet
342-65-4817,C,Naypyitaw,2019-01-28,16:47:00,Ewallet
130-98-8941,C,Naypyitaw,2019-02-09,10:00:00,Cash
434-83-9547,C,Naypyitaw,2019-01-23,11:51:00,Cash
851-28-6367,A,Yangon,2019-03-23,10:55:00,Ewallet
824-88-3614,C,Naypyitaw,2019-01-25,15:00:00,Ewallet
586-25-0848,A,Yangon,2019-03-04,11:19:00,Credit card
895-66-0685,B,Mandalay,2019-03-05,19:46:00,Ewallet
305-14-0245,B,Mandalay,2019-03-03,19:00:00,Ewallet
732-04-5373,B,Mandalay,2019-02-08,10:53:00,Cash
400-60-7251,A,Yangon,2019-02-10,12:50:00,Ewallet
593-65-1552,C,Naypyitaw,2019-01-28,20:50:00,Credit card
284-34-9626,B,Mandalay,2019-02-11,10:39:00,Credit card
437-58-8131,B,Mandalay,2019-01-15,13:41:00,Ewallet
286-43-6208,C,Naypyitaw,2019-03-16,19:08:00,Cash
641-43-2399,B,Mandalay,2019-01-26,20:23:00,Ewallet
831-07-6050,A,Yangon,2019-03-19,11:30:00,Credit card
556-86-3144,C,Naypyitaw,2019-01-13,19:30:00,Cash
848-24-9445,C,Naypyitaw,2019-03-26,18:03:00,Cash
856-22-8149,A,Yangon,2019-03-23,10:13:00,Ewallet
699-01-4164,C,Naypyitaw,2019-03-12,19:58:00,Credit card
420-11-4919,C,Naypyitaw,2019-02-17,19:57:00,Credit card
606-80-4905,C,Naypyitaw,2019-01-29,10:01:00,Credit card
542-41-0513,B,Mandalay,2019-03-15,11:57:00,Cash
426-39-2418,C,Naypyitaw,2019-01-14,10:02:00,Cash
875-46-5808,B,Mandalay,2019-02-06,14:51:00,Ewallet
394-43-4238,B,Mandalay,2019-02-15,12:42:00,Credit card
749-24-1565,A,Yangon,2019-01-03,12:02:00,Ewallet
672-51-8681,C,Naypyitaw,2019-01-04,18:19:00,Credit card
263-87-5680,C,Naypyitaw,2019-03-18,17:38:00,Ewallet
573-58-9734,B,Mandalay,2019-03-28,13:41:00,Ewallet
817-69-8206,B,Mandalay,2019-03-02,19:42:00,Credit card
888-02-0338,A,Yangon,2019-01-25,20:24:00,Ewallet
677-11-0152,C,Naypyitaw,2019-01-16,18:08:00,Cash
142-63-6033,B,Mandalay,2019-03-20,19:17:00,Ewallet
656-16-1063,B,Mandalay,2019-01-04,13:24:00,Credit card
891-58-8335,B,Mandalay,2019-03-11,15:53:00,Cash
802-43-8934,A,Yangon,2019-03-22,15:05:00,Credit card
560-30-5617,B,Mandalay,2019-03-24,18:27:00,Cash
319-74-2561,A,Yangon,2019-02-21,16:55:00,Cash
549-03-9315,B,Mandalay,2019-02-12,12:58:00,Ewallet
790-29-1172,B,Mandalay,2019-03-10,18:59:00,Credit card
239-36-3640,B,Mandalay,2019-01-31,13:44:00,Ewallet
468-01-2051,B,Mandalay,2019-03-06,13:46:00,Ewallet
389-25-3394,C,Naypyitaw,2019-02-17,18:06:00,Cash
279-62-1445,C,Naypyitaw,2019-02-21,12:38:00,Cash
213-72-6612,A,Yangon,2019-03-20,15:56:00,Cash
746-68-6593,C,Naypyitaw,2019-01-11,14:29:00,Credit card
836-82-5858,B,Mandalay,2019-01-26,19:14:00,Ewallet
583-72-1480,C,Naypyitaw,2019-01-31,16:24:00,Ewallet
466-61-5506,B,Mandalay,2019-02-26,10:52:00,Cash
721-86-6247,A,Yangon,2019-03-11,12:55:00,Ewallet
289-65-5721,B,Mandalay,2019-01-26,19:28:00,Cash
545-46-3100,B,Mandalay,2019-03-12,13:52:00,Credit card
418-02-5978,B,Mandalay,2019-02-11,10:54:00,Cash
269-04-5750,B,Mandalay,2019-02-21,18:31:00,Cash
157-13-5295,A,Yangon,2019-03-09,18:24:00,Ewallet
645-78-8093,A,Yangon,2019-01-20,18:09:00,Ewallet
211-30-9270,C,Naypyitaw,2019-01-28,15:16:00,Credit card
755-12-3214,C,Naypyitaw,2019-03-05,17:07:00,Credit card
346-84-3103,B,Mandalay,2019-03-02,19:26:00,Cash
478-06-7835,A,Yangon,2019-01-11,11:20:00,Ewallet
540-11-4336,A,Yangon,2019-01-11,16:49:00,Credit card
448-81-5016,A,Yangon,2019-03-11,12:01:00,Credit card
142-72-4741,C,Naypyitaw,2019-02-28,18:37:00,Credit card
217-58-1179,A,Yangon,2019-01-05,11:25:00,Cash
376-02-8238,B,Mandalay,2019-02-02,18:42:00,Credit card
530-90-9855,A,Yangon,2019-01-01,14:47:00,Cash
866-05-7563,B,Mandalay,2019-02-09,19:43:00,Cash
604-70-6476,A,Yangon,2019-01-23,14:04:00,Ewallet
799-71-1548,A,Yangon,2019-01-07,16:11:00,Credit card
785-13-7708,B,Mandalay,2019-01-14,19:06:00,Credit card
845-51-0542,B,Mandalay,2019-02-02,15:34:00,Ewallet
662-47-5456,C,Naypyitaw,2019-03-17,19:06:00,Credit card
883-17-4236,C,Naypyitaw,2019-03-02,19:44:00,Credit card
290-68-2984,A,Yangon,2019-03-16,11:22:00,Cash
704-11-6354,A,Yangon,2019-01-06,11:23:00,Cash
110-48-7033,B,Mandalay,2019-01-29,14:12:00,Cash
366-93-0948,A,Yangon,2019-01-31,10:46:00,Credit card
729-09-9681,A,Yangon,2019-02-05,10:16:00,Ewallet
151-16-1484,A,Yangon,2019-02-13,12:38:00,Ewallet
380-94-4661,C,Naypyitaw,2019-02-07,13:05:00,Credit card
850-41-9669,A,Yangon,2019-03-19,13:25:00,Ewallet
821-07-3596,C,Naypyitaw,2019-03-07,14:53:00,Ewallet
655-85-5130,B,Mandalay,2019-03-13,19:22:00,Cash
447-15-7839,A,Yangon,2019-02-09,11:00:00,Cash
154-74-7179,B,Mandalay,2019-02-26,19:24:00,Ewallet
253-12-6086,A,Yangon,2019-03-12,12:43:00,Credit card
808-65-0703,C,Naypyitaw,2019-03-14,17:22:00,Credit card
571-94-0759,B,Mandalay,2019-01-08,20:55:00,Cash
144-51-6085,A,Yangon,2019-01-05,16:05:00,Credit card
731-14-2199,A,Yangon,2019-01-04,13:34:00,Ewallet
783-09-1637,B,Mandalay,2019-03-06,18:13:00,Ewallet
687-15-1097,C,Naypyitaw,2019-01-03,19:17:00,Cash
126-54-1082,A,Yangon,2019-01-07,11:44:00,Credit card
633-91-1052,A,Yangon,2019-01-27,15:51:00,Cash
477-24-6490,B,Mandalay,2019-02-26,16:52:00,Ewallet
566-19-5475,B,Mandalay,2019-01-07,20:52:00,Cash
526-86-8552,C,Naypyitaw,2019-01-07,17:36:00,Cash
376-56-3573,C,Naypyitaw,2019-02-02,13:23:00,Ewallet
537-72-0426,C,Naypyitaw,2019-03-20,16:28:00,Cash
828-61-5674,A,Yangon,2019-03-20,19:57:00,Credit card
136-08-6195,A,Yangon,2019-02-15,17:01:00,Credit card
523-38-0215,C,Naypyitaw,2019-03-06,13:29:00,Credit card
490-29-1201,A,Yangon,2019-01-06,11:09:00,Cash
667-92-0055,A,Yangon,2019-03-04,15:02:00,Ewallet
565-17-3836,A,Yangon,2019-03-12,14:21:00,Cash
498-41-1961,B,Mandalay,2019-02-20,18:01:00,Cash
593-95-4461,C,Naypyitaw,2019-03-24,14:49:00,Cash
226-71-3580,C,Naypyitaw,2019-01-31,12:02:00,Cash
283-79-9594,B,Mandalay,2019-01-25,13:30:00,Credit card
430-60-3493,A,Yangon,2019-02-03,14:38:00,Cash
139-20-0155,B,Mandalay,2019-01-24,17:37:00,Credit card
558-80-4082,C,Naypyitaw,2019-03-14,17:20:00,Ewallet
278-97-7759,A,Yangon,2019-02-18,20:29:00,Cash
316-68-6352,A,Yangon,2019-01-21,10:00:00,Cash
585-03-5943,B,Mandalay,2019-03-13,11:46:00,Ewallet
211-05-0490,C,Naypyitaw,2019-03-03,13:42:00,Cash
727-75-6477,C,Naypyitaw,2019-03-29,14:44:00,Cash
744-02-5987,A,Yangon,2019-01-10,14:16:00,Ewallet
307-83-9164,A,Yangon,2019-01-25,15:54:00,Cash
779-06-0012,C,Naypyitaw,2019-01-19,10:21:00,Cash
446-47-6729,C,Naypyitaw,2019-01-02,18:09:00,Credit card
573-10-3877,B,Mandalay,2019-03-12,16:46:00,Credit card
735-06-4124,C,Naypyitaw,2019-02-25,15:31:00,Cash
439-54-7422,A,Yangon,2019-03-18,17:15:00,Credit card
396-90-2219,B,Mandalay,2019-02-23,12:29:00,Cash
411-77-0180,A,Yangon,2019-03-26,20:14:00,Ewallet
286-01-5402,A,Yangon,2019-03-30,13:22:00,Cash
803-17-8013,A,Yangon,2019-02-17,17:09:00,Cash
512-98-1403,A,Yangon,2019-03-21,10:40:00,Ewallet
848-42-2560,A,Yangon,2019-03-05,17:43:00,Cash
532-59-7201,B,Mandalay,2019-01-31,14:04:00,Cash
181-94-6432,C,Naypyitaw,2019-02-05,19:05:00,Ewallet
870-76-1733,A,Yangon,2019-02-01,10:08:00,Credit card
423-64-4619,A,Yangon,2019-03-07,13:12:00,Cash
227-07-4446,C,Naypyitaw,2019-02-10,20:51:00,Cash
174-36-3675,C,Naypyitaw,2019-02-14,17:29:00,Cash
428-83-5800,C,Naypyitaw,2019-02-09,10:25:00,Cash
603-07-0961,C,Naypyitaw,2019-01-10,11:34:00,Cash
704-20-4138,C,Naypyitaw,2019-03-11,18:58:00,Credit card
787-15-1757,C,Naypyitaw,2019-02-18,16:28:00,Ewallet
649-11-3678,C,Naypyitaw,2019-02-26,20:26:00,Cash
622-20-1945,C,Naypyitaw,2019-01-18,15:08:00,Cash
372-94-8041,A,Yangon,2019-02-15,18:03:00,Ewallet
563-91-7120,A,Yangon,2019-03-08,13:21:00,Cash
746-54-5508,A,Yangon,2019-01-17,12:48:00,Credit card
276-54-0879,B,Mandalay,2019-03-12,19:53:00,Ewallet
815-11-1168,A,Yangon,2019-03-09,19:09:00,Cash
719-76-3868,C,Naypyitaw,2019-03-12,16:30:00,Cash
730-61-8757,B,Mandalay,2019-01-25,10:11:00,Credit card
340-66-0321,A,Yangon,2019-03-25,13:07:00,Cash
868-81-1752,B,Mandalay,2019-02-07,18:48:00,Cash
634-97-8956,A,Yangon,2019-02-17,17:27:00,Credit card
566-71-1091,A,Yangon,2019-02-03,15:59:00,Cash
442-48-3607,A,Yangon,2019-03-14,11:21:00,Credit card
835-16-0096,C,Naypyitaw,2019-03-24,13:48:00,Ewallet
527-09-6272,A,Yangon,2019-03-21,10:17:00,Credit card
898-04-2717,A,Yangon,2019-03-19,15:49:00,Ewallet
692-27-8933,B,Mandalay,2019-02-24,13:02:00,Cash
633-09-3463,C,Naypyitaw,2019-03-28,12:58:00,Credit card
374-17-3652,B,Mandalay,2019-02-05,15:26:00,Credit card
378-07-7001,B,Mandalay,2019-02-10,18:23:00,Credit card
433-75-6987,B,Mandalay,2019-03-05,19:06:00,Ewallet
873-95-4984,B,Mandalay,2019-02-15,20:21:00,Cash
416-13-5917,C,Naypyitaw,2019-01-30,16:24:00,Ewallet
150-89-8043,A,Yangon,2019-02-14,15:04:00,Cash
135-84-8019,A,Yangon,2019-02-27,16:10:00,Ewallet
441-94-7118,A,Yangon,2019-02-04,12:14:00,Cash
725-96-3778,C,Naypyitaw,2019-01-20,10:13:00,Cash
531-80-1784,A,Yangon,2019-03-28,17:38:00,Cash
400-45-1220,B,Mandalay,2019-02-27,11:06:00,Credit card
860-79-0874,C,Naypyitaw,2019-02-15,14:53:00,Credit card
834-61-8124,A,Yangon,2019-01-26,18:22:00,Cash
115-99-4379,B,Mandalay,2019-03-14,19:02:00,Credit card
565-67-6697,B,Mandalay,2019-03-02,14:16:00,Cash
320-49-6392,C,Naypyitaw,2019-03-04,15:44:00,Cash
889-04-9723,B,Mandalay,2019-01-07,12:20:00,Credit card
632-90-0281,C,Naypyitaw,2019-03-08,20:01:00,Credit card
554-42-2417,C,Naypyitaw,2019-01-09,13:45:00,Cash
453-63-6187,B,Mandalay,2019-03-01,15:40:00,Ewallet
578-80-7669,B,Mandalay,2019-03-16,16:58:00,Cash
612-36-5536,A,Yangon,2019-02-17,11:12:00,Credit card
605-72-4132,C,Naypyitaw,2019-02-27,15:12:00,Cash
471-41-2823,C,Naypyitaw,2019-03-07,20:37:00,Ewallet
462-67-9126,A,Yangon,2019-01-21,17:44:00,Cash
272-27-9238,C,Naypyitaw,2019-02-19,16:23:00,Cash
834-25-9262,C,Naypyitaw,2019-01-06,12:12:00,Cash
122-61-9553,C,Naypyitaw,2019-03-14,19:33:00,Cash
468-88-0009,A,Yangon,2019-03-24,10:29:00,Cash
613-59-9758,C,Naypyitaw,2019-01-27,14:28:00,Cash
254-31-0042,A,Yangon,2019-03-06,12:46:00,Credit card
201-86-2184,B,Mandalay,2019-02-02,19:40:00,Cash
261-12-8671,B,Mandalay,2019-01-25,19:39:00,Credit card
730-70-9830,C,Naypyitaw,2019-03-14,17:54:00,Ewallet
382-25-8917,C,Naypyitaw,2019-01-29,12:25:00,Cash
422-29-8786,A,Yangon,2019-01-03,16:47:00,Credit card
667-23-5919,A,Yangon,2019-01-14,12:52:00,Ewallet
843-01-4703,B,Mandalay,2019-01-05,19:50:00,Credit card
743-88-1662,C,Naypyitaw,2019-02-22,18:17:00,Ewallet
595-86-2894,C,Naypyitaw,2019-02-06,17:20:00,Ewallet
182-69-8360,B,Mandalay,2019-01-30,13:32:00,Credit card
289-15-7034,A,Yangon,2019-01-11,10:37:00,Credit card
462-78-5240,C,Naypyitaw,2019-03-19,14:35:00,Cash
868-52-7573,B,Mandalay,2019-01-14,12:09:00,Cash
153-58-4872,C,Naypyitaw,2019-03-01,15:32:00,Ewallet
662-72-2873,A,Yangon,2019-01-06,13:58:00,Ewallet
525-88-7307,B,Mandalay,2019-01-31,13:19:00,Cash
689-16-9784,C,Naypyitaw,2019-03-11,13:37:00,Cash
725-56-0833,A,Yangon,2019-02-20,16:49:00,Credit card
394-41-0748,C,Naypyitaw,2019-01-27,14:55:00,Ewallet
596-42-3999,B,Mandalay,2019-03-10,14:04:00,Credit card
541-89-9860,C,Naypyitaw,2019-02-15,12:31:00,Cash
173-82-9529,B,Mandalay,2019-01-26,14:51:00,Cash
563-36-9814,A,Yangon,2019-02-13,18:27:00,Ewallet
308-47-4913,A,Yangon,2019-03-09,12:45:00,Credit card
885-17-6250,A,Yangon,2019-03-06,10:36:00,Ewallet
726-27-2396,A,Yangon,2019-01-24,20:36:00,Ewallet
316-01-3952,A,Yangon,2019-03-13,14:16:00,Ewallet
760-54-1821,B,Mandalay,2019-03-15,10:26:00,Cash
793-10-3222,B,Mandalay,2019-03-05,13:30:00,Credit card
346-12-3257,B,Mandalay,2019-03-04,16:28:00,Cash
110-05-6330,C,Naypyitaw,2019-03-25,20:18:00,Credit card
651-61-0874,C,Naypyitaw,2019-03-12,20:04:00,Credit card
236-86-3015,C,Naypyitaw,2019-02-04,13:38:00,Ewallet
831-64-0259,B,Mandalay,2019-02-22,10:43:00,Ewallet
587-03-7455,C,Naypyitaw,2019-02-16,17:30:00,Ewallet
882-40-4577,A,Yangon,2019-01-19,15:28:00,Credit card
732-67-5346,A,Yangon,2019-01-11,19:07:00,Credit card
725-32-9708,B,Mandalay,2019-01-04,19:01:00,Cash
256-08-8343,A,Yangon,2019-03-04,19:48:00,Ewallet
372-26-1506,C,Naypyitaw,2019-01-28,19:24:00,Ewallet
244-08-0162,B,Mandalay,2019-01-02,13:00:00,Cash
569-71-4390,B,Mandalay,2019-01-25,14:29:00,Ewallet
132-23-6451,A,Yangon,2019-01-04,13:21:00,Cash
696-90-2548,A,Yangon,2019-03-10,18:55:00,Ewallet
472-15-9636,A,Yangon,2019-03-22,19:36:00,Ewallet
268-03-6164,B,Mandalay,2019-01-25,16:28:00,Ewallet
750-57-9686,C,Naypyitaw,2019-01-08,13:48:00,Credit card
186-09-3669,C,Naypyitaw,2019-01-22,10:57:00,Ewallet
848-07-1692,B,Mandalay,2019-01-12,17:13:00,Ewallet
